3511,0,this mobile is the best
3540,0,"It has facebook, fb messenger, twitter, yahoo cricket, photos, sd card, video player, bluetooth, opera browser"
3541,0,Convenience of use and reliability
3566,0,Nice feature phone with the techs of microsoft!
3579,0,Experiencing smart phone features
3581,0,"Internet is not that much good ,particularly in facebook app"
3581,1, Others are equalent to smart phones
3626,0,"Chung toi chi can may 2 sim va pin ben va chong nuoc , may nokia cua cac ban rat cui bap dung rat cham va kho hieu"
3628,0,No games are free
3636,0,That was my score
3662,0,Because it gives me fast internet access
3665,0,"Look matured, but why its not watsapp"
3671,0,Dobra bateria daje bardzo du?y plus
3673,0,Good mobile which is cost effective
3687,0,Because this phone dose not suport java
3700,0,Nt good enough because it cnt do whatsapp
3705,0,For its affordable price and feture
3710,0,Karna barang ini sangat menarik
3714,0,"Because this is very beautiful,slim and i used very easly"
3716,0,Tdk bisa menyimpan sms dalam jumlah banyak
3716,1,sms harus sering di hapus
3721,0,Button hard to press donot know how to access inbox
3729,0,Bcs f fb messenger
3733,0,Apps are not loading
3744,0,"Jo,telefonam ir nepietiekama atmi?a"
3785,0,Hindi :-Ye mobile achcha h par agar isme online video dekh sakte to or bhi achcha hota or other game bhi khel sakte to or bhi jyada achcha hota
3801,0,This mobile phone has amazing standby battery life but don't have app store and whatsapp
3801,1, The browser given to this phone is not supports fb pages or any exam result searching pages
3805,0,Mu? jeder selber wissen
3813,0,Bcoz I Love Nokia 
3813,1," Nokia is my heart beat, ail request krni thi k Nokia k set m conversation na ho or sent item , inbox or draft  k alag alag folder hony chahey or battry minimum 2000 mah tl honi chahey plz plz plz"""
3816,0,This mobile is totally useless because it has very slow net service
3823,0,When i am using opera mini unfortunetly its hanged my phone after that i am open the battary without switch off my phone
3823,1,now if anyone call me i cant listen any sound from it
3823,2,also vibration is not working
3823,3,i am also done the factory reset but it is not working
3823,4, if authority can help me please do this quickly
3829,0,Because it's mob is best in other mob phones
3837,0,Easy to chat with
3847,0,Limited numbers of messge that can be recieved
3848,0,"The phone is good, but why absent of whatsup? Whatsapp takes 2 score"
3889,0,I can't download any application
3889,1,Moreover the software quality is worst
3890,0,Opera mini cannot show and not connect
3899,0,It isn\'t made by nokia not in india make quality
3907,0,Because people live in modern life
3927,0,Because it cant open download apps games and whts app
3952,0,Lots of things 
3964,0,This mobile is so so good
3973,0,This is the confortable mobile
3974,0,Bcz it z nice 4one
3976,0,Because i extremely likely
3999,0,This phone cannot whatsapp and 2go
4001,0, Pleace continue symbian belle
4028,0,Because it is better than other mobiles like samsung etc
4028,1, In a low price its tottaly good
4037,0,nice and smple cell for all age
4037,1,nokia all time play winnig prodect:
